doc_id	topic_0	topic_1
0	0.029104	0.970896
1	0.022627	0.977373
2	0.772879	0.227121
3	0.044932	0.955068
4	0.305733	0.694267
5	0.067524	0.932476
6	0.039051	0.960949
7	0.083748	0.916252
8	0.439780	0.560220
9	0.962976	0.037024
10	0.577127	0.422873
11	0.039717	0.960283
12	0.098824	0.901176
13	0.045068	0.954932
14	0.061340	0.938660
15	0.023766	0.976234
16	0.162752	0.837248
17	0.121023	0.878977
18	0.191823	0.808177
19	0.281591	0.718409
20	0.040249	0.959751
21	0.033250	0.966750
22	0.162562	0.837438
23	0.038265	0.961735
24	0.027758	0.972242
25	0.228496	0.771504
26	0.020578	0.979422
27	0.155308	0.844692
28	0.020578	0.979422
29	0.033517	0.966483
30	0.064021	0.935979
31	0.109689	0.890311
32	0.063222	0.936778
33	0.071512	0.928488
34	0.241222	0.758778
35	0.908324	0.091676
36	0.028357	0.971643
37	0.090164	0.909836
38	0.028622	0.971378
39	0.136247	0.863753
40	0.022330	0.977670
41	0.037192	0.962808
42	0.232730	0.767270
43	0.153543	0.846457
44	0.102056	0.897944
45	0.427398	0.572602
46	0.419382	0.580618
47	0.030492	0.969508
48	0.047940	0.952060
49	0.084833	0.915167
50	0.957212	0.042788
51	0.038699	0.961301
52	0.029306	0.970694
53	0.253604	0.746396
54	0.032037	0.967963
55	0.022830	0.977170
56	0.221691	0.778309
57	0.025996	0.974004
58	0.821683	0.178317
59	0.375707	0.624293
60	0.022896	0.977104
61	0.333888	0.666112
62	0.962325	0.037675
63	0.026478	0.973522
64	0.713874	0.286126
65	0.127975	0.872025
66	0.067066	0.932934
67	0.459105	0.540895
68	0.879102	0.120898
69	0.055940	0.944060
70	0.070785	0.929215
71	0.023589	0.976411
72	0.135862	0.864138
73	0.943386	0.056614
74	0.044274	0.955726
75	0.026827	0.973173
76	0.132640	0.867360
77	0.026973	0.973027
78	0.053426	0.946574
79	0.406935	0.593065
80	0.032694	0.967306
81	0.034188	0.965812
82	0.044218	0.955782
83	0.024761	0.975239
84	0.229505	0.770495
85	0.023874	0.976126
86	0.037461	0.962539
87	0.230664	0.769336
88	0.039450	0.960550
89	0.027792	0.972208
90	0.411586	0.588414
91	0.665557	0.334443
92	0.604852	0.395148
93	0.544075	0.455925
94	0.029789	0.970211
95	0.158357	0.841643
96	0.117865	0.882135
97	0.052765	0.947235
98	0.038926	0.961074
99	0.771881	0.228119
100	0.133360	0.866640
101	0.072733	0.927267
102	0.309643	0.690357
103	0.025871	0.974129
104	0.045092	0.954908
105	0.064867	0.935133
106	0.044068	0.955932
107	0.146641	0.853359
108	0.077260	0.922740
109	0.104364	0.895636
110	0.024308	0.975692
111	0.272966	0.727034
112	0.057281	0.942719
113	0.027212	0.972788
114	0.041920	0.958080
115	0.033112	0.966888
116	0.033881	0.966119
117	0.045162	0.954838
118	0.178428	0.821572
119	0.111363	0.888637
120	0.098625	0.901375
121	0.039341	0.960659
122	0.181401	0.818599
123	0.041763	0.958237
124	0.032903	0.967097
125	0.058685	0.941315
126	0.024222	0.975778
127	0.026222	0.973778
128	0.030431	0.969569
129	0.023139	0.976861
130	0.230546	0.769454
131	0.300624	0.699376
132	0.677295	0.322705
133	0.039815	0.960185
134	0.024233	0.975767
135	0.031057	0.968943
136	0.028794	0.971206
137	0.235292	0.764708
138	0.639647	0.360353
139	0.038946	0.961054
140	0.405303	0.594697
141	0.023283	0.976717
142	0.031782	0.968218
143	0.029697	0.970303
144	0.469247	0.530753
145	0.094829	0.905171
146	0.028369	0.971631
147	0.034667	0.965333
148	0.074563	0.925437
149	0.028705	0.971295
150	0.245612	0.754388
151	0.046381	0.953619
152	0.036296	0.963704
153	0.038782	0.961218
154	0.672569	0.327431
155	0.045545	0.954455
156	0.128061	0.871939
157	0.041960	0.958040
158	0.209087	0.790913
159	0.663466	0.336534
160	0.040034	0.959966
161	0.094516	0.905484
162	0.049437	0.950563
163	0.063196	0.936804
164	0.039341	0.960659
165	0.046207	0.953793
166	0.145506	0.854494
167	0.051656	0.948344
168	0.269216	0.730784
169	0.034523	0.965477
170	0.061313	0.938687
171	0.024333	0.975667
172	0.024990	0.975010
173	0.036325	0.963675
174	0.153387	0.846613
175	0.024718	0.975282
176	0.043958	0.956042
177	0.328797	0.671203
178	0.959310	0.040690
179	0.159865	0.840135
180	0.594425	0.405575
181	0.323202	0.676798
182	0.050198	0.949802
183	0.229453	0.770547
184	0.160431	0.839569
185	0.036244	0.963756
186	0.764337	0.235663
187	0.179890	0.820110
188	0.040605	0.959395
189	0.049260	0.950740
190	0.029387	0.970613
191	0.033474	0.966526
192	0.282087	0.717913
193	0.052689	0.947311
194	0.149971	0.850029
195	0.433172	0.566828
196	0.075674	0.924326
197	0.042478	0.957522
198	0.025425	0.974575
199	0.030176	0.969824
200	0.278428	0.721572
201	0.033159	0.966841
202	0.293722	0.706278
203	0.026149	0.973851
204	0.041274	0.958726
205	0.351276	0.648724
206	0.024149	0.975851
207	0.169595	0.830405
208	0.033038	0.966962
209	0.155183	0.844817
210	0.022808	0.977192
211	0.962978	0.037022
212	0.024195	0.975805
213	0.313091	0.686909
214	0.436253	0.563747
215	0.272260	0.727740
216	0.318489	0.681511
217	0.455635	0.544365
218	0.180929	0.819071
219	0.952847	0.047153
220	0.060795	0.939205
221	0.024773	0.975227
222	0.190313	0.809687
223	0.277321	0.722679
224	0.122830	0.877170
225	0.032493	0.967507
226	0.024705	0.975295
227	0.040633	0.959367
228	0.229978	0.770022
229	0.030153	0.969847
230	0.032416	0.967584
231	0.074938	0.925062
232	0.031445	0.968555
233	0.215123	0.784877
234	0.622828	0.377172
235	0.161911	0.838089
236	0.021689	0.978311
237	0.036551	0.963449
238	0.140767	0.859233
239	0.137262	0.862738
240	0.221826	0.778174
241	0.071305	0.928695
242	0.037470	0.962530
243	0.136313	0.863687
244	0.033845	0.966155
245	0.110864	0.889136
246	0.024269	0.975731
247	0.030312	0.969688
248	0.462848	0.537152
249	0.027554	0.972446
250	0.042454	0.957546
251	0.037678	0.962322
252	0.047878	0.952122
253	0.043661	0.956339
254	0.065434	0.934566
255	0.032050	0.967950
256	0.216569	0.783431
257	0.023504	0.976496
258	0.086867	0.913133
259	0.146253	0.853747
260	0.126539	0.873461
261	0.105080	0.894920
262	0.041515	0.958485
263	0.026225	0.973775
264	0.027040	0.972960
265	0.074108	0.925892
266	0.168482	0.831518
267	0.224429	0.775571
268	0.335148	0.664852
269	0.042028	0.957972
270	0.032086	0.967914
271	0.261511	0.738489
272	0.039519	0.960481
273	0.030716	0.969284
274	0.256731	0.743269
275	0.061686	0.938314
276	0.223491	0.776509
277	0.141911	0.858089
278	0.060746	0.939254
279	0.158260	0.841740
280	0.622613	0.377387
281	0.365580	0.634420
282	0.364031	0.635969
283	0.286875	0.713125
284	0.094944	0.905056
285	0.094270	0.905730
286	0.045138	0.954862
287	0.971381	0.028619
288	0.028234	0.971766
289	0.276868	0.723132
290	0.112215	0.887785
291	0.033790	0.966210
292	0.306205	0.693795
293	0.029555	0.970445
294	0.076230	0.923770
295	0.057524	0.942476
296	0.238147	0.761853
297	0.166014	0.833986
298	0.028964	0.971036
299	0.022493	0.977507
300	0.034231	0.965769
301	0.022908	0.977092
302	0.321447	0.678553
303	0.176940	0.823060
304	0.105115	0.894885
305	0.036936	0.963064
306	0.039329	0.960671
307	0.160267	0.839733
308	0.018873	0.981127
309	0.037317	0.962683
310	0.183953	0.816047
311	0.034583	0.965417
312	0.040914	0.959086
313	0.029765	0.970235
314	0.039295	0.960705
315	0.031819	0.968181
316	0.200589	0.799411
317	0.275593	0.724407
318	0.033895	0.966105
319	0.036809	0.963191
320	0.028180	0.971820
321	0.073036	0.926964
322	0.158526	0.841474
323	0.024579	0.975421
324	0.272581	0.727419
325	0.023910	0.976090
326	0.032199	0.967801
327	0.957519	0.042481
328	0.262727	0.737273
329	0.213187	0.786813
330	0.594740	0.405260
331	0.037848	0.962152
332	0.026819	0.973181
333	0.134941	0.865059
334	0.145801	0.854199
335	0.020307	0.979693
336	0.124397	0.875603
337	0.026182	0.973818
338	0.933924	0.066076
339	0.025004	0.974996
340	0.117132	0.882868
341	0.021251	0.978749
342	0.954526	0.045474
343	0.030318	0.969682
344	0.038322	0.961678
345	0.124039	0.875961
346	0.037199	0.962801
347	0.033757	0.966243
348	0.124732	0.875268
349	0.025532	0.974468
350	0.028717	0.971283
351	0.499745	0.500255
352	0.034364	0.965636
353	0.025042	0.974958
354	0.029801	0.970199
355	0.033298	0.966702
356	0.026817	0.973183
357	0.088834	0.911166
358	0.022750	0.977250
359	0.024323	0.975677
360	0.031178	0.968822
361	0.399434	0.600566
362	0.668290	0.331710
363	0.583304	0.416696
364	0.038436	0.961564
365	0.023270	0.976730
366	0.029372	0.970628
367	0.026388	0.973612
368	0.022449	0.977551
369	0.097703	0.902297
370	0.034422	0.965578
371	0.023836	0.976164
372	0.222222	0.777778
373	0.033664	0.966336
374	0.028000	0.972000
375	0.043195	0.956805
376	0.033240	0.966760
377	0.296285	0.703715
378	0.034533	0.965467
379	0.030458	0.969542
380	0.089471	0.910529
381	0.027923	0.972077
382	0.274334	0.725666
383	0.065951	0.934049
384	0.037766	0.962234
385	0.604460	0.395540
386	0.030284	0.969716
387	0.049970	0.950030
388	0.024392	0.975608
389	0.767144	0.232856
390	0.027476	0.972524
391	0.172128	0.827872
392	0.082220	0.917780
393	0.354041	0.645959
394	0.112671	0.887329
395	0.024659	0.975341
396	0.036299	0.963701
397	0.985318	0.014682
398	0.133019	0.866981
